file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,75,css,5f1cc007,Darief Maes,2025-04-11,17:25:50,-07:00,2025-04-11T17:25:50-07:00,0,30
styles.css,76,css,5f1cc007,Darief Maes,2025-04-11,17:25:50,-07:00,2025-04-11T17:25:50-07:00,0,17
styles.css,77,css,5f1cc007,Darief Maes,2025-04-11,17:25:50,-07:00,2025-04-11T17:25:50-07:00,0,0
styles.css,78,css,5f1cc007,Darief Maes,2025-04-11,17:25:50,-07:00,2025-04-11T17:25:50-07:00,0,0
styles.css,79,css,5f1cc007,Darief Maes,2025-04-11,17:25:50,-07:00,2025-04-11T17:25:50-07:00,0,12
styles.css,80,css,5f1cc007,Darief Maes,2025-04-11,17:25:50,-07:00,2025-04-11T17:25:50-07:00,0,17
styles.css,81,css,c72828e1,Darief Maes,2025-04-11,17:34:57,-07:00,2025-04-11T17:34:57-07:00,0,15
styles.css,82,css,c72828e1,Darief Maes,2025-04-11,17:34:57,-07:00,2025-04-11T17:34:57-07:00,0,37
styles.css,83,css,c72828e1,Darief Maes,2025-04-11,17:34:57,-07:00,2025-04-11T17:34:57-07:00,0,12
styles.css,84,css,c72828e1,Darief Maes,2025-04-11,17:34:57,-07:00,2025-04-11T17:34:57-07:00,0,19
styles.css,85,css,c72828e1,Darief Maes,2025-04-11,17:34:57,-07:00,2025-04-11T17:34:57-07:00,0,12
styles.css,86,css,5f1cc007,Darief Maes,2025-04-11,17:25:50,-07:00,2025-04-11T17:25:50-07:00,0,0
styles.css,87,css,5f1cc007,Darief Maes,2025-04-11,17:25:50,-07:00,2025-04-11T17:25:50-07:00,0,0
styles.css,88,css,7b51f5db,Darief Maes,2025-04-18,22:53:21,-07:00,2025-04-18T22:53:21-07:00,0,36
styles.css,89,css,893970c1,Darief Maes,2025-04-18,23:02:55,-07:00,2025-04-18T23:02:55-07:00,0,10
styles.css,90,css,893970c1,Darief Maes,2025-04-18,23:02:55,-07:00,2025-04-18T23:02:55-07:00,0,14
styles.css,91,css,7b51f5db,Darief Maes,2025-04-18,22:53:21,-07:00,2025-04-18T22:53:21-07:00,0,12
styles.css,92,css,7b51f5db,Darief Maes,2025-04-18,22:53:21,-07:00,2025-04-18T22:53:21-07:00,0,0
